Deal [id=3138525, userName= alexpro, direction=Short, asset=EURGBP, volume=16801.5, pNl=null, openDate=Tue Mar 03 07:27:03 IST 2015, closeDate=Tue Mar 03 18:17:26 IST 2015, lockedVolume=0.0]
Deal [id=3174156, userName= alexpro, direction=Long, asset=USDCAD, volume=10000.0, pNl=null, openDate=Fri Mar 13 09:46:16 IST 2015, closeDate=Fri Mar 13 00:10:19 IST 2015, lockedVolume=0.0]
Deal [id=3174344, userName= alexpro, direction=Long, asset=USDCAD, volume=10000.0, pNl=null, openDate=Fri Mar 13 10:05:24 IST 2015, closeDate=Fri Mar 13 10:27:35 IST 2015, lockedVolume=0.0]
Deal [id=3174468, userName= alexpro, direction=Long, asset=EURUSD, volume=10598.5, pNl=null, openDate=Fri Mar 13 10:34:26 IST 2015, closeDate=Fri Mar 13 10:38:11 IST 2015, lockedVolume=0.0]
Deal [id=3174575, userName= alexpro, direction=Long, asset=EURUSD, volume=15880.5, pNl=null, openDate=Fri Mar 13 11:08:06 IST 2015, closeDate=Fri Mar 13 00:37:30 IST 2015, lockedVolume=0.0]
Deal [id=3175322, userName= alexpro, direction=Short, asset=AUDUSD, volume=7663.0, pNl=null, openDate=Fri Mar 13 13:08:11 IST 2015, closeDate=Fri Mar 13 13:46:30 IST 2015, lockedVolume=0.0]
Deal [id=3175354, userName= alexpro, direction=Long, asset=EURUSD, volume=10571.5, pNl=null, openDate=Fri Mar 13 13:15:18 IST 2015, closeDate=Fri Mar 13 13:41:57 IST 2015, lockedVolume=0.0]
Deal [id=3175376, userName= alexpro, direction=Long, asset=GBPUSD, volume=14777.0, pNl=null, openDate=Fri Mar 13 13:26:21 IST 2015, closeDate=Fri Mar 13 13:27:45 IST 2015, lockedVolume=0.0]
Deal [id=3175406, userName= alexpro, direction=Short, asset=USDJPY, volume=10000.0, pNl=null, openDate=Fri Mar 13 13:35:11 IST 2015, closeDate=Fri Mar 13 13:45:08 IST 2015, lockedVolume=0.0]
Deal [id=3175553, userName= alexpro, direction=Long, asset=USDCHF, volume=10000.0, pNl=null, openDate=Fri Mar 13 13:47:26 IST 2015, closeDate=Fri Mar 13 14:02:07 IST 2015, lockedVolume=0.0]
Deal [id=3175663, userName= alexpro, direction=Long, asset=EURUSD, volume=10537.5, pNl=null, openDate=Fri Mar 13 13:54:22 IST 2015, closeDate=Fri Mar 13 14:00:35 IST 2015, lockedVolume=0.0]
Deal [id=3175842, userName= alexpro, direction=Long, asset=GBPJPY, volume=14728.0, pNl=null, openDate=Fri Mar 13 14:07:33 IST 2015, closeDate=Fri Mar 13 14:13:23 IST 2015, lockedVolume=0.0]
Deal [id=3175892, userName= alexpro, direction=Long, asset=USDJPY, volume=10000.0, pNl=null, openDate=Fri Mar 13 14:13:10 IST 2015, closeDate=Fri Mar 13 14:38:50 IST 2015, lockedVolume=0.0]
Deal [id=3175982, userName= alexpro, direction=Short, asset=USDCAD, volume=10000.0, pNl=null, openDate=Fri Mar 13 14:32:54 IST 2015, closeDate=Fri Mar 13 14:50:19 IST 2015, lockedVolume=0.0]
Deal [id=3176038, userName= alexpro, direction=Short, asset=EURGBP, volume=10529.0, pNl=null, openDate=Fri Mar 13 14:49:31 IST 2015, closeDate=Fri Mar 13 17:27:58 IST 2015, lockedVolume=0.0]
Deal [id=3176131, userName= alexpro, direction=Short, asset=GBPUSD, volume=14726.5, pNl=null, openDate=Fri Mar 13 15:05:33 IST 2015, closeDate=Fri Mar 13 15:11:51 IST 2015, lockedVolume=0.0]
Deal [id=3177176, userName= alexpro, direction=Short, asset=GBPUSD, volume=14734.5, pNl=null, openDate=Fri Mar 13 18:20:09 IST 2015, closeDate=Fri Mar 13 18:46:04 IST 2015, lockedVolume=0.0]
Deal [id=3177254, userName= alexpro, direction=Short, asset=EURUSD, volume=10464.0, pNl=null, openDate=Fri Mar 13 18:46:58 IST 2015, closeDate=Fri Mar 13 19:24:56 IST 2015, lockedVolume=0.0]
Deal [id=3177340, userName= alexpro, direction=Short, asset=EURGBP, volume=10477.0, pNl=null, openDate=Fri Mar 13 19:44:03 IST 2015, closeDate=Fri Mar 13 20:15:43 IST 2015, lockedVolume=0.0]
Deal [id=3179327, userName= alexpro, direction=Short, asset=EURGBP, volume=10538.5, pNl=null, openDate=Mon Mar 16 00:52:05 IST 2015, closeDate=Mon Mar 16 13:03:40 IST 2015, lockedVolume=0.0]
Deal [id=3178454, userName= alexpro, direction=Short, asset=EURUSD, volume=10536.0, pNl=null, openDate=Mon Mar 16 08:45:07 IST 2015, closeDate=Mon Mar 16 10:06:49 IST 2015, lockedVolume=0.0]
Deal [id=3178468, userName= alexpro, direction=Short, asset=GBPUSD, volume=14789.0, pNl=null, openDate=Mon Mar 16 08:50:35 IST 2015, closeDate=Mon Mar 16 09:00:01 IST 2015, lockedVolume=0.0]
Deal [id=3178511, userName= alexpro, direction=Short, asset=GBPUSD, volume=14795.0, pNl=null, openDate=Mon Mar 16 09:03:11 IST 2015, closeDate=Mon Mar 16 13:07:32 IST 2015, lockedVolume=0.0]
Deal [id=3180418, userName= alexpro, direction=Short, asset=EURAUD, volume=10583.5, pNl=null, openDate=Mon Mar 16 15:50:44 IST 2015, closeDate=Mon Mar 16 16:54:42 IST 2015, lockedVolume=0.0]
Deal [id=3180495, userName= alexpro, direction=Short, asset=EURUSD, volume=10583.5, pNl=null, openDate=Mon Mar 16 16:14:59 IST 2015, closeDate=Mon Mar 16 16:32:55 IST 2015, lockedVolume=0.0]
Deal [id=3181200, userName= alexpro, direction=Short, asset=EURUSD, volume=10565.0, pNl=null, openDate=Mon Mar 16 20:26:08 IST 2015, closeDate=Tue Mar 17 07:17:34 IST 2015, lockedVolume=0.0]
Deal [id=3181776, userName= alexpro, direction=Short, asset=GBPUSD, volume=59336.0, pNl=null, openDate=Tue Mar 17 07:15:59 IST 2015, closeDate=Tue Mar 17 07:17:16 IST 2015, lockedVolume=0.0]
Deal [id=3181863, userName= alexpro, direction=Short, asset=GBPUSD, volume=14838.5, pNl=null, openDate=Tue Mar 17 07:35:42 IST 2015, closeDate=Tue Mar 17 08:06:19 IST 2015, lockedVolume=0.0]
Deal [id=3182151, userName= alexpro, direction=Long, asset=EURUSD, volume=10593.5, pNl=null, openDate=Tue Mar 17 08:31:15 IST 2015, closeDate=Tue Mar 17 08:38:02 IST 2015, lockedVolume=0.0]
Deal [id=3182161, userName= alexpro, direction=Short, asset=EURGBP, volume=10593.0, pNl=null, openDate=Tue Mar 17 08:34:11 IST 2015, closeDate=Tue Mar 17 09:21:02 IST 2015, lockedVolume=0.0]
Deal [id=3182361, userName= alexpro, direction=Short, asset=AUDUSD, volume=7654.5, pNl=null, openDate=Tue Mar 17 09:22:56 IST 2015, closeDate=Tue Mar 17 09:32:14 IST 2015, lockedVolume=0.0]
Deal [id=3182478, userName= alexpro, direction=Short, asset=AUDUSD, volume=7661.5, pNl=null, openDate=Tue Mar 17 09:34:12 IST 2015, closeDate=Tue Mar 17 09:40:23 IST 2015, lockedVolume=0.0]
Deal [id=3182553, userName= alexpro, direction=Long, asset=EURGBP, volume=10606.5, pNl=null, openDate=Tue Mar 17 09:49:20 IST 2015, closeDate=Tue Mar 17 10:00:16 IST 2015, lockedVolume=0.0]
Deal [id=3183062, userName= alexpro, direction=Short, asset=EURUSD, volume=10600.0, pNl=null, openDate=Tue Mar 17 11:33:01 IST 2015, closeDate=Tue Mar 17 11:46:57 IST 2015, lockedVolume=0.0]
Deal [id=3183095, userName= alexpro, direction=Long, asset=USDJPY, volume=10000.0, pNl=null, openDate=Tue Mar 17 11:37:56 IST 2015, closeDate=Tue Mar 17 00:04:57 IST 2015, lockedVolume=0.0]
Deal [id=3185692, userName= alexpro, direction=Short, asset=EURUSD, volume=15906.75, pNl=null, openDate=Wed Mar 18 08:43:20 IST 2015, closeDate=Thu Mar 19 16:33:15 IST 2015, lockedVolume=0.0]
Deal [id=3185714, userName= alexpro, direction=Short, asset=EURGBP, volume=10608.5, pNl=null, openDate=Wed Mar 18 08:47:53 IST 2015, closeDate=Wed Mar 18 09:21:54 IST 2015, lockedVolume=0.0]
Deal [id=3189481, userName= alexpro, direction=Short, asset=GBPUSD, volume=73960.0, pNl=null, openDate=Wed Mar 18 18:13:40 IST 2015, closeDate=Wed Mar 18 18:21:50 IST 2015, lockedVolume=0.0]
Deal [id=3190381, userName= alexpro, direction=Short, asset=XAUUSD, volume=58284.0, pNl=null, openDate=Wed Mar 18 18:42:45 IST 2015, closeDate=Wed Mar 18 19:04:31 IST 2015, lockedVolume=0.0]
Deal [id=3193713, userName= alexpro, direction=Short, asset=USDCAD, volume=50000.0, pNl=null, openDate=Thu Mar 19 09:55:19 IST 2015, closeDate=Fri Mar 20 13:51:44 IST 2015, lockedVolume=0.0]
Deal [id=3194650, userName= alexpro, direction=Long, asset=USDCAD, volume=100000.0, pNl=null, openDate=Thu Mar 19 13:29:35 IST 2015, closeDate=Thu Mar 19 16:40:15 IST 2015, lockedVolume=0.0]
Deal [id=3194756, userName= alexpro, direction=Short, asset=GBPUSD, volume=73880.0, pNl=null, openDate=Thu Mar 19 13:54:59 IST 2015, closeDate=Thu Mar 19 14:25:33 IST 2015, lockedVolume=0.0]
Deal [id=3194898, userName= alexpro, direction=Long, asset=EURUSD, volume=32044.5, pNl=null, openDate=Thu Mar 19 14:18:26 IST 2015, closeDate=Fri Mar 20 10:38:44 IST 2015, lockedVolume=0.0]
Deal [id=3195431, userName= alexpro, direction=Short, asset=USDJPY, volume=50000.0, pNl=null, openDate=Thu Mar 19 16:20:00 IST 2015, closeDate=Fri Mar 20 15:57:55 IST 2015, lockedVolume=0.0]
Deal [id=3195544, userName= alexpro, direction=Long, asset=NZDUSD, volume=36930.5, pNl=null, openDate=Thu Mar 19 16:49:03 IST 2015, closeDate=Thu Mar 19 20:48:59 IST 2015, lockedVolume=0.0]
Deal [id=3195730, userName= alexpro, direction=Long, asset=EURCAD, volume=53165.0, pNl=null, openDate=Thu Mar 19 17:35:10 IST 2015, closeDate=Fri Mar 20 00:30:03 IST 2015, lockedVolume=0.0]
Deal [id=3195779, userName= alexpro, direction=Short, asset=USDCAD, volume=10000.0, pNl=null, openDate=Thu Mar 19 18:06:36 IST 2015, closeDate=Thu Mar 19 18:21:09 IST 2015, lockedVolume=0.0]
Deal [id=3195828, userName= alexpro, direction=Short, asset=GBPCAD, volume=73550.0, pNl=null, openDate=Thu Mar 19 18:27:05 IST 2015, closeDate=Fri Mar 20 07:09:30 IST 2015, lockedVolume=0.0]
Deal [id=3196030, userName= alexpro, direction=Short, asset=AUDNZD, volume=38252.5, pNl=null, openDate=Thu Mar 19 20:57:22 IST 2015, closeDate=Thu Mar 19 21:01:19 IST 2015, lockedVolume=0.0]
Deal [id=3196548, userName= alexpro, direction=Long, asset=GBPJPY, volume=73745.0, pNl=null, openDate=Fri Mar 20 07:48:59 IST 2015, closeDate=Fri Mar 20 09:29:23 IST 2015, lockedVolume=0.0]
Deal [id=3196623, userName= alexpro, direction=Long, asset=GBPJPY, volume=73685.0, pNl=null, openDate=Fri Mar 20 08:05:28 IST 2015, closeDate=Fri Mar 20 09:41:48 IST 2015, lockedVolume=0.0]
Deal [id=3197008, userName= alexpro, direction=Long, asset=USDCAD, volume=50000.0, pNl=null, openDate=Fri Mar 20 09:59:24 IST 2015, closeDate=Fri Mar 20 13:13:49 IST 2015, lockedVolume=0.0]
Deal [id=3197027, userName= alexpro, direction=Short, asset=EURUSD, volume=64047.0, pNl=null, openDate=Fri Mar 20 10:01:18 IST 2015, closeDate=Fri Mar 20 10:24:16 IST 2015, lockedVolume=0.0]
Deal [id=3197144, userName= alexpro, direction=Short, asset=EURUSD, volume=106915.0, pNl=null, openDate=Fri Mar 20 10:34:49 IST 2015, closeDate=Fri Mar 20 11:41:31 IST 2015, lockedVolume=0.0]
Deal [id=3197180, userName= alexpro, direction=Long, asset=USDCAD, volume=50000.0, pNl=null, openDate=Fri Mar 20 10:46:56 IST 2015, closeDate=Fri Mar 20 00:31:45 IST 2015, lockedVolume=0.0]
Deal [id=3197266, userName= alexpro, direction=Short, asset=XAUUSD, volume=58667.5, pNl=null, openDate=Fri Mar 20 11:23:44 IST 2015, closeDate=Fri Mar 20 13:47:31 IST 2015, lockedVolume=0.0]
Deal [id=3198184, userName= alexpro, direction=Short, asset=USDCAD, volume=100000.0, pNl=null, openDate=Fri Mar 20 13:16:56 IST 2015, closeDate=Fri Mar 20 14:02:39 IST 2015, lockedVolume=0.0]
Deal [id=3198664, userName= alexpro, direction=Long, asset=GBPJPY, volume=74480.0, pNl=null, openDate=Fri Mar 20 14:16:53 IST 2015, closeDate=Fri Mar 20 14:27:29 IST 2015, lockedVolume=0.0]
Deal [id=3198756, userName= alexpro, direction=Long, asset=GBPJPY, volume=74375.0, pNl=null, openDate=Fri Mar 20 14:35:50 IST 2015, closeDate=Fri Mar 20 16:53:19 IST 2015, lockedVolume=0.0]
Deal [id=3198802, userName= alexpro, direction=Short, asset=EURNZD, volume=53885.0, pNl=null, openDate=Fri Mar 20 14:50:18 IST 2015, closeDate=Fri Mar 20 15:49:18 IST 2015, lockedVolume=0.0]
Deal [id=3198861, userName= alexpro, direction=Short, asset=GBPUSD, volume=74332.5, pNl=null, openDate=Fri Mar 20 15:13:38 IST 2015, closeDate=Mon Mar 23 08:11:45 IST 2015, lockedVolume=0.0]
Deal [id=3199598, userName= alexpro, direction=Short, asset=EURUSD, volume=54285.0, pNl=null, openDate=Fri Mar 20 17:33:58 IST 2015, closeDate=Fri Mar 20 18:17:05 IST 2015, lockedVolume=0.0]
Deal [id=3200400, userName= alexpro, direction=Short, asset=USDJPY, volume=50000.0, pNl=null, openDate=Mon Mar 23 04:10:18 IST 2015, closeDate=Tue Mar 24 10:18:35 IST 2015, lockedVolume=0.0]
Deal [id=3200412, userName= alexpro, direction=Short, asset=EURNZD, volume=54150.0, pNl=null, openDate=Mon Mar 23 04:17:49 IST 2015, closeDate=Thu Apr 02 06:47:11 IDT 2015, lockedVolume=0.0]
Deal [id=3200628, userName= alexpro, direction=Short, asset=EURUSD, volume=53997.5, pNl=null, openDate=Mon Mar 23 07:03:42 IST 2015, closeDate=Mon Mar 23 08:05:16 IST 2015, lockedVolume=0.0]
Deal [id=3200916, userName= alexpro, direction=Short, asset=GBPUSD, volume=44586.0, pNl=null, openDate=Mon Mar 23 08:23:54 IST 2015, closeDate=Mon Mar 23 09:07:21 IST 2015, lockedVolume=0.0]
Deal [id=3200938, userName= alexpro, direction=Short, asset=EURNZD, volume=53885.0, pNl=null, openDate=Mon Mar 23 08:27:00 IST 2015, closeDate=Thu Apr 02 06:47:07 IDT 2015, lockedVolume=0.0]
Deal [id=3200981, userName= alexpro, direction=Short, asset=AUDJPY, volume=38847.5, pNl=null, openDate=Mon Mar 23 08:32:50 IST 2015, closeDate=Mon Mar 23 10:30:00 IST 2015, lockedVolume=0.0]
Deal [id=3201170, userName= alexpro, direction=Long, asset=USDCAD, volume=100000.0, pNl=null, openDate=Mon Mar 23 09:11:43 IST 2015, closeDate=Tue Mar 24 00:43:40 IST 2015, lockedVolume=0.0]
Deal [id=3202077, userName= alexpro, direction=Short, asset=EURUSD, volume=54507.5, pNl=null, openDate=Mon Mar 23 11:36:53 IST 2015, closeDate=Mon Mar 23 13:15:27 IST 2015, lockedVolume=0.0]
Deal [id=3203900, userName= alexpro, direction=Short, asset=EURUSD, volume=54647.5, pNl=null, openDate=Mon Mar 23 16:42:29 IST 2015, closeDate=Tue Mar 24 14:24:28 IST 2015, lockedVolume=0.0]
Deal [id=3204431, userName= alexpro, direction=Short, asset=AUDNZD, volume=39415.0, pNl=null, openDate=Mon Mar 23 20:08:52 IST 2015, closeDate=Tue Mar 24 13:12:59 IST 2015, lockedVolume=0.0]
Deal [id=3207428, userName= alexpro, direction=Long, asset=GBPUSD, volume=74890.0, pNl=null, openDate=Tue Mar 24 00:46:28 IST 2015, closeDate=Tue Mar 24 00:52:55 IST 2015, lockedVolume=0.0]
Deal [id=3205758, userName= alexpro, direction=Short, asset=GBPUSD, volume=74710.0, pNl=null, openDate=Tue Mar 24 09:10:40 IST 2015, closeDate=Tue Mar 24 09:48:55 IST 2015, lockedVolume=0.0]
Deal [id=3206178, userName= alexpro, direction=Long, asset=EURGBP, volume=54795.0, pNl=null, openDate=Tue Mar 24 09:53:55 IST 2015, closeDate=Thu Mar 26 10:23:17 IST 2015, lockedVolume=0.0]
Deal [id=3206766, userName= alexpro, direction=Short, asset=GBPCHF, volume=74492.5, pNl=null, openDate=Tue Mar 24 11:45:08 IST 2015, closeDate=Tue Mar 24 11:47:02 IST 2015, lockedVolume=0.0]
Deal [id=3206797, userName= alexpro, direction=Short, asset=GBPCHF, volume=74565.0, pNl=null, openDate=Tue Mar 24 11:54:28 IST 2015, closeDate=Tue Mar 24 00:56:50 IST 2015, lockedVolume=0.0]
Deal [id=3207985, userName= alexpro, direction=Short, asset=GBPJPY, volume=74362.5, pNl=null, openDate=Tue Mar 24 13:39:48 IST 2015, closeDate=Tue Mar 24 18:21:22 IST 2015, lockedVolume=0.0]
Deal [id=3208094, userName= alexpro, direction=Short, asset=GBPCHF, volume=74412.5, pNl=null, openDate=Tue Mar 24 13:54:30 IST 2015, closeDate=Tue Mar 24 14:36:37 IST 2015, lockedVolume=0.0]
Deal [id=3208524, userName= alexpro, direction=Short, asset=USDCHF, volume=50000.0, pNl=null, openDate=Tue Mar 24 14:45:34 IST 2015, closeDate=Thu Mar 26 08:06:05 IST 2015, lockedVolume=0.0]
Deal [id=3209320, userName= alexpro, direction=Long, asset=GBPUSD, volume=148505.0, pNl=null, openDate=Tue Mar 24 19:04:36 IST 2015, closeDate=Wed Mar 25 00:20:50 IST 2015, lockedVolume=0.0]
Deal [id=3211829, userName= alexpro, direction=Short, asset=EURUSD, volume=109985.0, pNl=null, openDate=Wed Mar 25 13:00:22 IST 2015, closeDate=Wed Mar 25 13:06:37 IST 2015, lockedVolume=0.0]
Deal [id=3211842, userName= alexpro, direction=Short, asset=GBPUSD, volume=74615.0, pNl=null, openDate=Wed Mar 25 13:01:22 IST 2015, closeDate=Wed Mar 25 13:48:12 IST 2015, lockedVolume=0.0]
Deal [id=3213718, userName= alexpro, direction=Long, asset=EURJPY, volume=54817.5, pNl=null, openDate=Wed Mar 25 22:30:30 IST 2015, closeDate=Thu Mar 26 04:25:05 IST 2015, lockedVolume=0.0]
Deal [id=3217300, userName= alexpro, direction=Long, asset=USDJPY, volume=100000.0, pNl=null, openDate=Thu Mar 26 00:58:18 IST 2015, closeDate=Thu Mar 26 13:49:29 IST 2015, lockedVolume=0.0]
Deal [id=3214277, userName= alexpro, direction=Long, asset=AUDNZD, volume=39097.5, pNl=null, openDate=Thu Mar 26 05:44:33 IST 2015, closeDate=Fri Mar 27 15:24:40 IDT 2015, lockedVolume=0.0]
Deal [id=3214313, userName= alexpro, direction=Short, asset=USDCAD, volume=50000.0, pNl=null, openDate=Thu Mar 26 06:02:09 IST 2015, closeDate=Thu Mar 26 00:24:04 IST 2015, lockedVolume=0.0]
Deal [id=3214822, userName= alexpro, direction=Long, asset=USDCHF, volume=100000.0, pNl=null, openDate=Thu Mar 26 07:41:35 IST 2015, closeDate=Thu Mar 26 08:23:04 IST 2015, lockedVolume=0.0]
Deal [id=3216383, userName= alexpro, direction=Short, asset=EURGBP, volume=55075.0, pNl=null, openDate=Thu Mar 26 10:44:51 IST 2015, closeDate=Thu Mar 26 17:09:56 IST 2015, lockedVolume=0.0]
Deal [id=3218384, userName= alexpro, direction=Short, asset=AUDUSD, volume=39180.0, pNl=null, openDate=Thu Mar 26 14:54:28 IST 2015, closeDate=Fri Mar 27 07:02:53 IDT 2015, lockedVolume=0.0]
Deal [id=3218415, userName= alexpro, direction=Short, asset=XAUUSD, volume=60290.0, pNl=null, openDate=Thu Mar 26 14:57:58 IST 2015, closeDate=Fri Mar 27 01:37:44 IST 2015, lockedVolume=0.0]
