Is Online,Deal ID,Username,Symbol,Long/Short,Buy Amount,Buy Currency,Sell Amount,Sell Currency,Open Date,Open Rate,Open Reason,Close Rate,Close Date,Close Reason,PaL (ABC),PaL Pips,SL Rate,SL Amount,TP Rate,TP Amount,Open Freeze Status,FREEZE_CLOSE,Business Unit,User Group,Volume,Volume (ABC),ABC,Account ID,User Group Type,User Type,Margin Amount (PBC),Margin Amount (BC),Margin Amount (ABC),SL Amount (NBC),SL Amount (ABC),PaL,Desk,Rolling Commission (ABC),Rolling Commission,Handling Commission,Handling Commission (ABC),Order Rate,Eligibility Status,Is Eligible,Affiliate Name,STP Provider,Retention Manager,Tags,TradingSystem,Ext Deal ID,Post Balance (ABC),Deal Duration(Hours),,,
NO,3750139, alexpro,EURUSD,Short,1120450,USD,1000000,EUR,09/25/2015 20:05:58 GMT,1.12045,Opened By User,1.12025,09/25/2015 20:09:31 GMT,Closed By User,200,2,,0,,320,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1120550,1120550,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,200,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,186587.63,0.06,,,,
NO,3739605, alexpro,USDCAD,Short,1325250,CAD,1000000,USD,09/23/2015 11:09:38 GMT,1.32525,Opened By User,1.32472,09/23/2015 11:11:45 GMT,TP Amount Reached,400,5.3,,0,,400,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1000000,1000000,USD, 920486,Standard,Trader,5000,5000,5000,,,400,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,180696.19,0.04,,,,
NO,3739412, alexpro,USDJPY,Long,1000000,USD,120166000,JPY,09/23/2015 10:28:30 GMT,120.166,Opened By User,120.171,09/23/2015 10:38:40 GMT,Closed By User,41.6,0.5,,0,,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1000000,1000000,USD, 920486,Standard,Trader,5000,5000,5000,,,41.6,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,180032.18,0.17,,,,
NO,3750162, alexpro,EURUSD,Short,1120600,USD,1000000,EUR,09/25/2015 20:35:03 GMT,1.1206,Opened By User,1.12055,09/25/2015 20:42:47 GMT,Closed By User,50,0.5,,0,,420,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1120650,1120650,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,50,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,187037.63,0.13,,,,
NO,3750911, alexpro,USDCHF,Long,1000000,USD,980720,CHF,09/28/2015 07:49:13 GMT,0.98072,Opened By User,0.98078,09/28/2015 13:00:14 GMT,TP Amount Reached,65,0.6,,0,,65,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1000000,1000000,USD, 920486,Standard,Trader,5000,5000,5000,,,65,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,188184.84,5.18,,,,
NO,3754747, alexpro,EURUSD,Short,1125500,USD,1000000,EUR,09/29/2015 08:06:30 GMT,1.1255,Opened By User,1.11966,09/29/2015 12:31:47 GMT,Closed By User,5840,58.4,,11,,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1125600,1125600,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,11,5840,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,194061.14,4.42,,,,
NO,3749881, alexpro,EURUSD,Short,1118750,USD,1000000,EUR,09/25/2015 17:00:31 GMT,1.11875,Opened By User,1.1187,09/25/2015 17:03:47 GMT,Closed By User,50,0.5,,0,,450,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1118850,1118850,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,50,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,185262.63,0.05,,,,
NO,3739942, alexpro,USDCAD,Short,1328450,CAD,1000000,USD,09/23/2015 12:33:26 GMT,1.32845,Opened By User,1.3281,09/23/2015 13:30:45 GMT,Closed By User,263.57,3.5,,0,,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1000000,1000000,USD, 920486,Standard,Trader,5000,5000,5000,,,263.57,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,180993.02,0.96,,,,
NO,3749637, alexpro,GBPUSD,Long,1000000,GBP,1518580,USD,09/25/2015 15:18:38 GMT,1.51858,Opened By User,1.51898,09/25/2015 18:58:47 GMT,TP Amount Reached,400,4,,0,,400,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1518330,1518330,USD, 920486,Standard,Trader,7118.8,5000,7118.8,,,400,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,185987.63,3.67,,,,
NO,3748280, alexpro,EURUSD,Short,1116500,USD,1000000,EUR,09/25/2015 11:12:40 GMT,1.1165,Opened By User,1.11625,09/25/2015 11:17:15 GMT,Closed By User,250,2.5,,0,,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1116600,1116600,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,250,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,183457.63,0.08,,,,
NO,3740392, alexpro,USDCAD,Short,1328200,CAD,1000000,USD,09/23/2015 13:31:46 GMT,1.3282,Opened By User,1.328,09/23/2015 13:56:36 GMT,Closed By User,150.63,2,,0,,300,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1000000,1000000,USD, 920486,Standard,Trader,5000,5000,5000,,,150.63,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,181143.65,0.41,,,,
NO,3752204, alexpro,EURUSD,Short,1115800,USD,1000000,EUR,09/28/2015 12:41:16 GMT,1.1158,Opened By User,1.11548,09/28/2015 12:45:17 GMT,TP Amount Reached,320,3.2,,0,,320,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1116050,1116050,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,320,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,187799.84,0.07,,,,
NO,3756027, alexpro,EURUSD,Short,1120760,USD,1000000,EUR,09/29/2015 12:48:43 GMT,1.12076,Opened By User,1.11956,09/30/2015 12:31:46 GMT,Closed By User,1200,12,,0,,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1120780,1120780,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,1200,Anton MacCane,33.76,33.76,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,195358.86,23.72,,,,
NO,3733102, alexpro,EURUSD,Long,1000000,EUR,1125300,USD,09/21/2015 12:38:18 GMT,1.1253,Opened By User,1.12535,09/24/2015 11:47:56 GMT,TP Amount Reached,50,0.5,,0,,50,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1125300,1125300,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,50,Anton MacCane,100.47,100.47,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,181310.45,71.16,,,,
NO,3745606, alexpro,EURUSD,Short,1123400,USD,1000000,EUR,09/24/2015 17:51:56 GMT,1.1234,Opened By User,1.12308,09/24/2015 18:07:45 GMT,TP Amount Reached,320,3.2,,0,,320,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1123500,1123500,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,320,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,182280.43,0.26,,,,
NO,3739494, alexpro,USDCAD,Short,1326250,CAD,1000000,USD,09/23/2015 10:50:09 GMT,1.32625,Opened By User,1.326,09/23/2015 10:54:17 GMT,Closed By User,188.57,2.5,,0,,350,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1000000,1000000,USD, 920486,Standard,Trader,5000,5000,5000,,,188.57,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,180258.46,0.07,,,,
NO,3763076, alexpro,EURUSD,Short,1115470,USD,1000000,EUR,10/01/2015 09:35:18 GMT,1.11547,Opened By User,1.11504,10/01/2015 09:40:16 GMT,Closed By User,430,4.3,,0,,550,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1115490,1115490,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,430,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,199118.7,0.08,,,,
NO,3738950, alexpro,USDJPY,Long,1000000,USD,120217000,JPY,09/23/2015 08:04:51 GMT,120.217,Opened By User,120.234,09/23/2015 08:10:18 GMT,Closed By User,141.37,1.7,,0,,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1000000,1000000,USD, 920486,Standard,Trader,5000,5000,5000,,,141.37,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,179990.58,0.09,,,,
NO,3749958, alexpro,EURUSD,Short,1117450,USD,1000000,EUR,09/25/2015 17:50:44 GMT,1.11745,Opened By User,1.11739,09/28/2015 06:12:07 GMT,TP Amount Reached,65,0.6,,0,,65,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1117500,1117500,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,65,Anton MacCane,33.6,33.6,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,187199.84,60.36,,,,
NO,3766280, alexpro,EURUSD,Short,5582150,USD,5000000,EUR,10/02/2015 08:06:42 GMT,1.11643,Opened By User,1.11624,10/02/2015 09:00:07 GMT,Closed By User,950,1.9,,0,,1250,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),5582750,5582750,USD, 920486,Standard,Trader,27556.25,25000,27556.25,,,950,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,199800.58,0.89,,,,
NO,3752945, alexpro,USDCAD,Short,1337320,CAD,1000000,USD,09/28/2015 15:01:02 GMT,1.33732,Opened By User,1.33462,09/30/2015 19:47:45 GMT,Closed By User,2023.35,27,,0,1.334,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1000000,1000000,USD, 920486,Standard,Trader,5000,5000,5000,,,2023.35,Anton MacCane,60,60,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,198712.21,52.78,,,,
NO,3734264, alexpro,USDCAD,Short,1324950,CAD,1000000,USD,09/21/2015 17:50:13 GMT,1.32495,Opened By User,1.32482,09/21/2015 18:23:15 GMT,TP Amount Reached,100,1.3,,0,,100,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1000000,1000000,USD, 920486,Standard,Trader,5000,5000,5000,,,100,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,179818.05,0.55,,,,
NO,3753533, alexpro,USDCHF,Long,1000000,USD,974300,CHF,09/28/2015 18:33:28 GMT,0.9743,Opened By User,0.97449,09/30/2015 07:01:28 GMT,TP Amount Reached,199,1.9,,0,,199,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1000000,1000000,USD, 920486,Standard,Trader,5000,5000,5000,,,199,Anton MacCane,60,60,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,194008.86,36.47,,,,
NO,3763760, alexpro,EURUSD,Short,1115460,USD,1000000,EUR,10/01/2015 12:15:21 GMT,1.11546,Opened By User,1.11526,10/02/2015 10:49:36 GMT,TP Amount Reached,200,2,,0,,200,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1115560,1115560,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,200,Anton MacCane,33.57,33.57,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,200000.58,22.57,,,,
NO,3749934, alexpro,EURUSD,Short,1117800,USD,1000000,EUR,09/25/2015 17:34:43 GMT,1.1178,Opened By User,1.11765,09/25/2015 17:38:45 GMT,Closed By User,150,1.5,,0,,465,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1117900,1117900,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,150,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,185362.63,0.07,,,,
NO,3739628, alexpro,USDJPY,Long,1000000,USD,120256000,JPY,09/23/2015 11:13:28 GMT,120.256,Opened By User,120.26,09/23/2015 11:21:57 GMT,Closed By User,33.26,0.4,,0,,400,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1000000,1000000,USD, 920486,Standard,Trader,5000,5000,5000,,,33.26,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,180729.45,0.14,,,,
NO,3748439, alexpro,EURUSD,Short,1115650,USD,1000000,EUR,09/25/2015 11:37:47 GMT,1.11565,Opened By User,1.1155,09/25/2015 12:09:28 GMT,Closed By User,150,1.5,,0,1.112,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1115750,1115750,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,150,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,183607.63,0.53,,,,
NO,3734248, alexpro,USDCAD,Short,1325050,CAD,1000000,USD,09/21/2015 17:39:54 GMT,1.32505,Opened By User,1.3247,09/21/2015 17:44:56 GMT,Closed By User,264.25,3.5,,0,,400,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1000000,1000000,USD, 920486,Standard,Trader,5000,5000,5000,,,264.25,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,179718.05,0.08,,,,
NO,3756089, alexpro,EURUSD,Short,1120350,USD,1000000,EUR,09/29/2015 13:05:55 GMT,1.12035,Opened By User,1.1202,09/30/2015 12:15:13 GMT,Closed By User,150,1.5,,0,,650,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1120450,1120450,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,150,Anton MacCane,33.76,33.76,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,194158.86,23.16,,,,
NO,3742823, alexpro,USDCAD,Short,1332650,CAD,1000000,USD,09/24/2015 08:52:49 GMT,1.33265,Opened By User,1.3319,09/24/2015 18:46:48 GMT,TP Reached,563.19,7.5,,0,1.3319,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1000000,1000000,USD, 920486,Standard,Trader,5000,5000,5000,,,563.19,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,183143.62,9.9,,,,
NO,3745578, alexpro,EURUSD,Short,1124400,USD,1000000,EUR,09/24/2015 17:36:13 GMT,1.1244,Opened By User,1.12378,09/24/2015 17:49:06 GMT,TP Amount Reached,620,6.2,,0,,620,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1124500,1124500,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,620,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,181960.43,0.21,,,,
NO,3731125, alexpro,USDJPY,Long,1000000,USD,119924000,JPY,09/21/2015 05:12:34 GMT,119.924,Opened By User,119.936,09/21/2015 06:13:26 GMT,Closed By User,100.04,1.2,,0,,300,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1000000,1000000,USD, 920486,Standard,Trader,5000,5000,5000,,,100.04,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,178635.32,1.01,,,,
NO,3749949, alexpro,EURUSD,Short,1676100,USD,1500000,EUR,09/25/2015 17:43:12 GMT,1.1174,Opened By User,1.11725,09/25/2015 17:49:16 GMT,Closed By User,225,1.5,,0,,650,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1676250,1676250,USD, 920486,Standard,Trader,8266.88,7500,8266.88,,,225,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,185587.63,0.1,,,,
NO,3749822, alexpro,EURUSD,Short,1119750,USD,1000000,EUR,09/25/2015 16:22:31 GMT,1.11975,Opened By User,1.11965,09/25/2015 16:29:50 GMT,Closed By User,100,1,,0,,200,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1119950,1119950,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,100,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,184462.63,0.12,,,,
NO,3752236, alexpro,EURUSD,Short,1116000,USD,1000000,EUR,09/28/2015 12:46:06 GMT,1.116,Opened By User,1.11568,09/28/2015 12:53:57 GMT,TP Amount Reached,320,3.2,,0,,320,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1116150,1116150,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,320,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,188119.84,0.13,,,,
NO,3739546, alexpro,USDCAD,Short,1325600,CAD,1000000,USD,09/23/2015 10:57:51 GMT,1.3256,Opened By User,1.32555,09/23/2015 11:04:43 GMT,Closed By User,37.73,0.5,,0,,100,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1000000,1000000,USD, 920486,Standard,Trader,5000,5000,5000,,,37.73,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,180296.19,0.11,,,,
NO,3751044, alexpro,USDCAD,Long,1000000,USD,1333900,CAD,09/28/2015 08:13:54 GMT,1.3339,Opened By User,1.33399,09/28/2015 10:26:29 GMT,TP Amount Reached,65,0.9,,0,,65,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1000000,1000000,USD, 920486,Standard,Trader,5000,5000,5000,,,65,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,187479.84,2.21,,,,
NO,3760613, alexpro,EURUSD,Long,1000000,EUR,1116980,USD,09/30/2015 14:43:03 GMT,1.11698,Opened By User,1.11711,09/30/2015 14:51:22 GMT,TP Amount Reached,130,1.3,,0,,130,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1116880,1116880,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,130,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,196238.86,0.14,,,,
NO,3742507, alexpro,USDCAD,Long,1000000,USD,1332500,CAD,09/24/2015 07:45:49 GMT,1.3325,Opened By User,1.33257,09/24/2015 08:18:21 GMT,TP Amount Reached,50,0.7,,0,,50,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1000000,1000000,USD, 920486,Standard,Trader,5000,5000,5000,,,50,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,181260.45,0.54,,,,
NO,3752711, alexpro,GBPUSD,Long,1000000,GBP,1518890,USD,09/28/2015 14:21:03 GMT,1.51889,Opened By User,1.51911,09/28/2015 14:24:27 GMT,Closed By User,220,2.2,,0,,0,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1518560,1518560,USD, 920486,Standard,Trader,7118.8,5000,7118.8,,,220,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,188404.84,0.06,,,,
NO,3763018, alexpro,EURUSD,Short,1115830,USD,1000000,EUR,10/01/2015 09:26:32 GMT,1.11583,Opened By User,1.11573,10/01/2015 09:31:50 GMT,Closed By User,100,1,,0,,550,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1115930,1115930,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,100,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,198688.7,0.09,,,,
NO,3745725, alexpro,EURUSD,Short,1122100,USD,1000000,EUR,09/24/2015 18:27:21 GMT,1.1221,Opened By User,1.12205,09/24/2015 18:52:47 GMT,Closed By User,50,0.5,,0,,260,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1122150,1122150,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,50,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,183193.62,0.42,,,,
NO,3748372, alexpro,EURUSD,Long,1000000,EUR,1115400,USD,09/25/2015 11:32:03 GMT,1.1154,Opened By User,1.1154,09/25/2015 11:36:42 GMT,Closed By User,0,0,,0,,220,Inactive,Inactive,MaxiForex_MT,MT4 (MaxiForex_MT),1115400,1115400,USD, 920486,Standard,Trader,5511.25,5000,5511.25,,,0,Anton MacCane,,,0,0,,Eligible, MED_FXP,,Alexander Galich,,PX,,183457.63,0.08,,,,
